Day/Month/Year,BusStop,Pasengers
,ETC office ,599
,Building A Gate 6,84
ศุกร์ที่ 1 เม.ย. 2565,7-Eleven Stop,725
,ETC office ,533
,Building A Gate 6,80
จันทร์ที่ 4 เม.ย. 2565,7-Eleven Stop,681
,ETC office ,590
,Building A Gate 6,70
อังคารที่ 5 เม.ย. 2565,7-Eleven Stop,808
,ETC office ,556
,Building A Gate 6,76
พฤหัสบดีที่ 7 เม.ย. 2565,7-Eleven Stop,779
,ETC office ,673
,Building A Gate 6,89
ศุกร์ที่ 8 เม.ย. 2565,7-Eleven Stop,783
,ETC office ,612
,Building A Gate 6,70
จันทร์ที่ 11 เม.ย. 2565,7-Eleven Stop,695
,ETC office ,555
,Building A Gate 6,71
อังคารที่ 12 เม.ย. 2565,7-Eleven Stop,622
,ETC office ,500
,Building A Gate 6,61
จันทร์ที่ 18 เม.ย. 2565,7-Eleven Stop,682
,ETC office ,570
,Building A Gate 6,72
อังคารที่ 19 เม.ย. 2565,7-Eleven Stop,776
,ETC office ,545
,Building A Gate 6,68
พุธที่ 20 เม.ย. 2565,7-Eleven Stop,711
,ETC office ,538
,Building A Gate 6,80
พฤหัสบดีที่ 12 เม.ย. 2565,7-Eleven Stop,678
,ETC office ,592
,Building A Gate 6,62
ศุกร์ที่ 22 เม.ย. 2565,7-Eleven Stop,787
,ETC office ,600
,Building A Gate 6,88
จันทร์ที่ 25 เม.ย. 2565,7-Eleven Stop,650
,ETC office ,579
,Building A Gate 6,56
อังคารที่ 26 เม.ย. 2565,7-Eleven Stop,784
,ETC office ,620
,Building A Gate 6,82
พุธที่ 27 เม.ย. 2565,7-Eleven Stop,859
,ETC office ,610
,Building A Gate 6,91
พฤหัสบดีที่ 28 เม.ย. 2565,7-Eleven Stop,822
,ETC office ,603
,Building A Gate 6,91
ศุกร์ที่ 29 เม.ย. 2565,7-Eleven Stop,824
,ETC office ,610
,Building A Gate 6,140
จันทร์ที่ 2 พ.ค. 2565,7-Eleven Stop,688
,ETC office ,611
,Building A Gate 6,53
อังคารที่ 3 พ.ค. 2565,7-Eleven Stop,800
,ETC office ,661
,Building A Gate 6,68
พฤหัสบดีที่ 5 พ.ค. 2565,7-Eleven Stop,820
,ETC office ,619
,Building A Gate 6,101
ศุกร์ที่ 6 พ.ค. 2565,7-Eleven Stop,787
,ETC office ,613
,Building A Gate 6,83
จันทร์ที่ 9 พ.ค. 2565,7-Eleven Stop,765
,ETC office ,602
,Building A Gate 6,86
อังคารที่ 10 พ.ค. 2565,7-Eleven Stop,704
,ETC office ,607
,Building A Gate 6,68
พุธที่ 11 พ.ค. 2565,7-Eleven Stop,710
,ETC office ,572
,Building A Gate 6,54
พฤหัสบดีที่ 12 พ.ค. 2565,7-Eleven Stop,729
,ETC office ,622
,Building A Gate 6,72
อังคารที่ 17 พ.ค. 2565,7-Eleven Stop,901
,ETC office ,666
,Building A Gate 6,109
พุธที่ 18 พ.ค. 2565,7-Eleven Stop,697
,ETC office ,686
,Building A Gate 6,113
พฤหัสบดีที่ 19 พ.ค. 2565,7-Eleven Stop,920
,ETC office ,641
,Building A Gate 6,66
ศุกร์ที่ 20 พ.ค. 2565,7-Eleven Stop,847
,ETC office ,558
,Building A Gate 6,65
จันทร์ที่ 23 พ.ค. 2565,7-Eleven Stop,829
,ETC office ,648
,Building A Gate 6,58
อังคารที่ 24 พ.ค. 2565,7-Eleven Stop,887
,ETC office ,665
,Building A Gate 6,94
พุธที่ 25 พ.ค. 2565,7-Eleven Stop,822
,ETC office ,670
,Building A Gate 6,50
พฤหัสบดีที่ 26 พ.ค. 2565,7-Eleven Stop,863
,ETC office ,492
,Building A Gate 6,100
ศุกร์ที่ 27 พ.ค. 2565,7-Eleven Stop,815
,ETC office ,674
,Building A Gate 6,125
จันทร์ที่ 30 พ.ค. 2565,7-Eleven Stop,782
,ETC office ,671
,Building A Gate 6,85
อังคารที่ 31 พ.ค. 2565,จำนวนผู้ใช้บริการรถไฟฟ้า​ บริเวณปากซอย​ 8,850
,ETC office ,567
,จำนวนผู้ใช้บริการรถไฟฟ้าบริเวณอาคาร A ประตู 7,110
พุธที่ 1 มิถุนายน 2565,7-Eleven Stop,861
,ETC office ,666
,Building A Gate 6,78
พฤหัสบดีที่ 2 มิถุนายน 2565,7-Eleven Stop,805
,ETC office ,704
,Building A Gate 6,150
จันทร์ที่ 6 มิ.ย. 2565,7-Eleven Stop,745
,ETC office ,651
,Building A Gate 6,101
อังคารที่ 7 มิ.ย. 2565,7-Eleven Stop,844
,ETC office ,686
,Building A Gate 6,87
พุธที่ 8 มิถุนายน 2565,7-Eleven Stop,886
,ETC office ,648
,Building A Gate 6,146
พฤหัสบดีที่ 9 มิถุนายน 2565,7-Eleven Stop,714
,ETC office ,692
,Building A Gate 6,106
ศุกร์ที่ 10 มิ.ย. 2565,7-Eleven Stop,890
,ETC office ,730
,Building A Gate 6,109
จันทร์ที่ 13 มิ.ย. 2565,7-Eleven Stop,858
,ETC office ,689
,Building A Gate 6,105
อังคารที่ 14 มิ.ย. 2565,7-Eleven Stop,949
,ETC office ,760
,Building A Gate 6,157
พุธที่ 15 มิ.ย 2565,7-Eleven Stop,933
,ETC office ,820
,Building A Gate 6,163
พฤหัสบดีที่ 16 มิ.ย. 2565,7-Eleven Stop,878
,ETC office ,772
,Building A Gate 6,209
ศุกร์ที่ 17 มิ.ย. 2565,7-Eleven Stop,864
,ETC office ,687
,Building A Gate 6,244
จันทร์ที่ 20 มิ.ย. 2565,7-Eleven Stop,846
,ETC office ,670
,Building A Gate 6,76
อังคารที่ 21 มิ.ย. 2565,7-Eleven Stop,900
,ETC office ,692
,Building A Gate 6,81
พุธที่ 22 มิ.ย. 2565,7-Eleven Stop,908
,ETC office ,741
,Building A Gate 6,110
พฤหัสบดีที่ 23 มิ.ย. 2565,7-Eleven Stop,820
,ETC office ,672
,Building A Gate 6,88
ศุกร์ที่ 24 มิ.ย. 2565,7-Eleven Stop,841
,ETC office ,699
,Building A Gate 6,106
จันทร์ที่ 27 มิ.ย. 2565,7-Eleven Stop,822
,ETC office ,635
,Building A Gate 6,66
อังคารที่ 28 มิ.ย. 2565,7-Eleven Stop,834
,ETC office ,720
,Building A Gate 6,110
พุธที่ 29 มิ.ย. 2565,7-Eleven Stop,846
,ETC office ,710
,Building A Gate 6,108
พฤหัสบดีที่ 30 มิ.ย. 2565,7-Eleven Stop,813
,ETC office ,726
,Building A Gate 6,105
ศุกร์ที่ 1 กรกฎาคม 2565,7-Eleven Stop,902
,ETC office ,724
,Building A Gate 6,120
จันทร์ที่ 4 กรกฎาคม 2565,7-Eleven Stop,803
,ETC office ,708
,Building A Gate 6,139
อังคารที่ 5 กรกฎาคม 2565,7-Eleven Stop,957
,ETC office ,746
,Building A Gate 6,120
พุธที่ 6 กรกฎาคม 2565,7-Eleven Stop,905
,ETC office ,757
,Building A Gate 6,120
พฤหัสบดีที่ 7 กรกฎาคม 2565,7-Eleven Stop,901
,ETC office ,719
,Building A Gate 6,138
ศุกร์ที่ 8 กรกฎาคม 2565,7-Eleven Stop,792
,ETC office ,748
,Building A Gate 6,146
จันทร์ที่ 11 กรกฎาคม 2565,7-Eleven Stop,764
,ETC office ,604
,Building A Gate 6,84
อังคารที่ 12 กรกฎาคม 2565,7-Eleven Stop,807
,ETC office ,634
,Building A Gate 6,76
จันทร์ที่ 18 กรกฎาคม 2565,7-Eleven Stop,776
,ETC office ,630
,Building A Gate 6,89
อังคารที่ 19 กรกฎาคม 2565,7-Eleven Stop,825
,ETC office ,600
,Building A Gate 6,94
พุธที่ 20 กรกฎาคม 2565,7-Eleven Stop,841
,ETC office ,663
,Building A Gate 6,77
พฤหัสบดีที่ 21 กรกฎาคม 2565,7-Eleven Stop,698
,ETC office ,593
,Building A Gate 6,89
ศุกร์ที่ 22 กรกฎาคม 2565,7-Eleven Stop,781
,ETC office ,569
,Building A Gate 6,91
จันทร์ที่ 25 กรกฎาคม 2565,7-Eleven Stop,791
,ETC office ,610
,Building A Gate 6,89
อังคารที่ 26 กรกฎาคม 2565,7-Eleven Stop,730
,ETC office ,505
,Building A Gate 6,98
พุธที่ 27 กรกฎาคม 2565,7-Eleven Stop,811
,ETC office ,601
,Building A Gate 6,78
จันทร์ที่ 1 สิงหาคม 2565,7-Eleven Stop,815
,ETC office ,683
,Building A Gate 6,119
อังคารที่ 2 สิงหาคม 2565,7-Eleven Stop,775
,ETC office ,729
,Building A Gate 6,127
พุธที่ 3 สิงหาคม 2565,7-Eleven Stop,835
,ETC office ,597
,Building A Gate 6,69
พฤหัสบดีที่ 4 สิงหาคม 2565,7-Eleven Stop,899
,ETC office ,654
,Building A Gate 6,92
ศุกร์ที่ 5 สิงหาคม 2565,7-Eleven Stop,818
,ETC office ,608
,Building A Gate 6,98
จันทร์ที่ 8 สิงหาคม 2565,7-Eleven Stop,765
,ETC office ,582
,Building A Gate 6,76
อังคารที่ 9 สิงหาคม 2565,7-Eleven Stop,934
,ETC office ,651
,Building A Gate 6,95
พุธที่ 10 สิงหาคม 2565,7-Eleven Stop,851
,ETC office ,663
,Building A Gate 6,118
พฤหัสบดีที่ 11 สิงหาคม 2565,7-Eleven Stop,620
,ETC office ,862
,Building A Gate 6,120
จันทร์ที่ 15 สิงหาคม 2565,7-Eleven Stop,779
,ETC office ,640
,Building A Gate 6,145
อังคารที่ 16 สิงหาคม 2565,7-Eleven Stop,960
,ETC office ,651
,Building A Gate 6,651
พุธที่ 17 สิงหาคม 2565,7-Eleven Stop,1020
,ETC office ,699
,Building A Gate 6,234
พฤหัสบดีที่ 18 สิงหาคม 2565,7-Eleven Stop,858
,ETC office ,655
,Building A Gate 6,207
ศุกร์ที่ 19 สิงหาคม 2565,7-Eleven Stop,1006
,ETC office ,707
,Building A Gate 6,230
จันทร์ที่ 22 สิงหาคม 2565,7-Eleven Stop,935
,ETC office ,633
,Building A Gate 6,79
อังคารที่ 23 สิงหาคม 2565,7-Eleven Stop,873
,ETC office ,643
,Building A Gate 6,109
พุธที่ 24 สิงหาคม 2565,7-Eleven Stop,743
,ETC office ,631
,Building A Gate 6,115
พฤหัสบดีที่ 25 สิงหาคม 2565,7-Eleven Stop,753
,ETC office ,623
,Building A Gate 6,127
ศุกร์ที่ 26 สิงหาคม 2565,7-Eleven Stop,797
,ETC office ,588
,Building A Gate 6,188
จันทร์ที่ 29 สิงหาคม 2565,7-Eleven Stop,820
,ETC office ,631
,Building A Gate 6,106
อังคารที่ 30 สิงหาคม 2565,7-Eleven Stop,909
,ETC office ,653
,Building A Gate 6,148
พุธที่ 31 สิงหาคม 2565,7-Eleven Stop,865
,ETC office ,640
,Building A Gate 6,111
พฤหัสบดีที่ 1 กันยายน 2565,7-Eleven Stop,873
,ETC office ,752
,Building A Gate 6,146
ศุกร์ที่ 2  กันยายน 2565,7-Eleven Stop,923
,ETC office ,680
,Building A Gate 6,160
จันทร์ที่ 5 กันยายน 2565,7-Eleven Stop,793
,ETC office ,601
,Building A Gate 6,66
อังคารที่ 6 กันยายน 2565,7-Eleven Stop,961
,ETC office ,635
,Building A Gate 6,112
พุธที่ 7 กันยายน 2565,7-Eleven Stop,749
,ETC office ,664
,Building A Gate 6,112
พฤหัสบดีที่ 8 กันยายน 2565,7-Eleven Stop,903
,ETC office ,635
,Building A Gate 6,171
ศุกร์ที่ 9 กันยายน 2565,7-Eleven Stop,787
,ETC office ,662
,Building A Gate 6,209
จันทร์ที่ 12 กันยายน 2565,7-Eleven Stop,889
,ETC office ,643
,Building A Gate 6,103
อังคารที่ 13 กันยายน 2565,7-Eleven Stop,1014
,ETC office ,688
,Building A Gate 6,146
พุธที่ 14 กันยายน 2565,7-Eleven Stop,949
,ETC office ,704
,Building A Gate 6,189
พฤหัสบดีที่ 15 กันยายน 2565,7-Eleven Stop,918
,ETC office ,709
,Building A Gate 6,135
