Building,Month/Year,kWh,Bath
BB,ก.พ 63,"28,949.36","120,139.84"
BB,มี.ค 63,"34,817.58","144,492.96"
BB,เม.ย 63,"33,861.13","140,523.71"
BB,พ.ค 63,"36,782.33","152,646.67"
BB,มิ.ย 63,"33,758.36","140,097.20"
BB,ก.ค 63,"32,893.40","136,507.62"
BB,ส.ค 63,"31,841.51","132,142.27"
BB,ก.ย 63,"29,556.44","122,659.22"
BB,ต.ค 63,"23,366.34","96,970.33"
BB,พ.ย 63,"28,706.12","119,130.41"
BB,ธ.ค 63,"26,486.43","109,918.71"
BB,ม.ค 64," 29,674.84 "," 123,150.58 "
BB,ก.พ 64," 24,975.62 "," 103,648.80 "
BB,มี.ค 64," 29,831.46 "," 123,800.54 "
BB,เม.ย 64," 29,290.56 "," 121,555.84 "
BB,พ.ค 64," 32,964.18 "," 136,801.34 "
BB,มิ.ย 64," 33,344.20 "," 138,378.45 "
BB,ก.ค 64," 28,792.04 "," 119,486.97 "
BB,ส.ค 64," 27,853.28 "," 115,591.10 "
BB,ก.ย 64," 23,736.83 "," 98,507.84 "
BB,ต.ค 64," 25,263.19 "," 104,842.22 "
BB,พ.ย 64," 24,219.83 "," 100,512.31 "
BB,ธ.ค 64," 25,769.24 "," 106,942.34 "
BB,ม.ค 65," 24,978.77 "," 103,661.87 "
BB,ก.พ 65," 21,064.81 "," 87,418.98 "
BB,มี.ค 65," 25,163.00 "," 104,430.14 "
BB,เม.ย 65," 26,557.02 "," 110,211.62 "
BB,พ.ค 65," 26,560.33 "," 110,225.38 "
BB,มิ.ย 65," 27,689.05 "," 114,909.57 "
BB,ก.ค 65," 25,531.46 "," 105,955.58 "
BB,ส.ค 65," 24,409.07 "," 101,297.62 "
BB,ก.ย 65," 22,127.15 "," 91,827.66 "
BB,ต.ค 65," 23,908.83 "," 99,221.66 "
BB,พ.ย 65," 21,539.87 "," 89,390.47 "
BB,ธ.ค 65," 27,184.80 "," 112,816.94 "
BB,ม.ค 66,"23,384.27 ","97,044.72 "
BB,ก.พ 66,"24,370.74 ","101,138.55 "
BB,มี.ค 66,"29,473.84 ","122,316.44 "
BB,เม.ย 66,"32,545.53 ","135,063.94 "
BB,พ.ค 66,"29,413.38 ","122,065.51 "
BC,พ.ค 60," 60,618.77 "," 242,475.08 "
BC,มิ.ย 60," 40,759.27 "," 163,037.09 "
BC,ก.ค 60," 8,878.27 "," 35,513.08 "
BC,ส.ค 60," 15,928.86 "," 63,715.43 "
BC,ก.ย 60," 11,364.98 "," 45,459.92 "
BC,ต.ค 60," 16,779.22 "," 67,116.89 "
BC,พ.ย 60," 13,518.02 "," 54,072.07 "
BC,ธ.ค 60," 5,014.18 "," 20,056.74 "
BC,ม.ค 61,"2,064.26","8,257.05"
BC,ก.พ 61,"34,417.89","137,671.56"
BC,มี.ค 61,"48,103.94","192,415.75"
BC,เม.ย 61,555.28,"2,221.11"
BC,พ.ค 61,"25,073.91","25,073.91"
BC,มิ.ย 61,"5,700.26","22,801.03"
BC,ก.ค 61,"34,308.26","137,233.02"
BC,ส.ค 61,"33,548.60","134,194.39"
BC,ก.ย 61,"37,472.01","149,888.03"
BC,ต.ค 61,"35,686.85","142,747.39"
BC,พ.ย 61,"1,638.13","6,798.25"
BC,ธ.ค 61,"2,061.65","8,555.86"
BC,ม.ค 62,"31,711.17","126,844.69"
BC,ก.พ 62,"30,756.49","127,639.43"
BC,มี.ค 62,"6,583.91","27,323.24"
BC,เม.ย 62,228.86,949.78
BC,พ.ค 62,"2,006.72","8,327.88"
BC,มิ.ย 62,233.23,967.90
BC,ก.ค 62,"7,701.70","31,962.06"
BC,ส.ค 62,231.53,960.86
BC,ก.ย 62,126.07,523.18
BC,ต.ค 62,177.10,734.98
BC,พ.ย 62,105.11,436.20
BC,ธ.ค 62,184.70,766.50
BC,ม.ค 63,206.90,858.65
BC,ก.พ 63,204.71,849.56
BC,มี.ค 63,228.00,946.22
