Day/Month/Year,BusStop,Pasengers
จันทร์ที่ 28 กุมภาพันธ์ 2565,ETC office ,544
จันทร์ที่ 28 กุมภาพันธ์ 2565,Building A Gate 6,160
อังคารที่ 1 มีนาคม 2565,7-Eleven Stop,753
อังคารที่ 1 มีนาคม 2565,ETC office ,607
อังคารที่ 1 มีนาคม 2565,Building A Gate 6,143
พุธที่ 2 มีนาคม 2565,7-Eleven Stop,755
พุธที่ 2 มีนาคม 2565,ETC office ,573
พุธที่ 2 มีนาคม 2565,Building A Gate 6,125
พฤหัสบดีที่ 3 มีนาคม 2565,7-Eleven Stop,685
พฤหัสบดีที่ 3 มีนาคม 2565,ETC office ,588
พฤหัสบดีที่ 3 มีนาคม 2565,Building A Gate 6,64
ศุกร์ที่ 4 มีนาคม 2565,7-Eleven Stop,707
ศุกร์ที่ 4 มีนาคม 2565,ETC office ,555
ศุกร์ที่ 4 มีนาคม 2565,Building A Gate 6,76
จันทร์ที่ 7 มีนาคม 2565,7-Eleven Stop,676
จันทร์ที่ 7 มีนาคม 2565,ETC office ,580
จันทร์ที่ 7 มีนาคม 2565,Building A Gate 6,56
อังคารที่ 8 มีนาคม 2565,7-Eleven Stop,741
อังคารที่ 8 มีนาคม 2565,ETC office ,554
อังคารที่ 8 มีนาคม 2565,Building A Gate 6,61
พุธที่ 9 มีนาคม 2565,7-Eleven Stop,795
พุธที่ 9 มีนาคม 2565,ETC office ,601
พุธที่ 9 มีนาคม 2565,Building A Gate 6,70
พฤหัสบดีที่ 10 มีนาคม 2565,7-Eleven Stop,698
พฤหัสบดีที่ 10 มีนาคม 2565,ETC office ,590
พฤหัสบดีที่ 10 มีนาคม 2565,Building A Gate 6,59
ศุกร์ที่ 11 มีนาคม 2565,7-Eleven Stop,676
ศุกร์ที่ 11 มีนาคม 2565,ETC office ,479
ศุกร์ที่ 11 มีนาคม 2565,Building A Gate 6,70
จันทร์ที่ 14 มีนาคม 2565,7-Eleven Stop,724
จันทร์ที่ 14 มีนาคม 2565,ETC office ,550
จันทร์ที่ 14 มีนาคม 2565,Building A Gate 6,43
อังคารที่ 15 มีนาคม 2565,7-Eleven Stop,734
อังคารที่ 15 มีนาคม 2565,ETC office ,601
อังคารที่ 15 มีนาคม 2565,Building A Gate 6,49
พุธที่ 16 มีนาคม 2565,7-Eleven Stop,725
พุธที่ 16 มีนาคม 2565,ETC office ,620
พุธที่ 16 มีนาคม 2565,Building A Gate 6,75
พฤหัสบดีที่ 17 มีนาคม 2565,7-Eleven Stop,712
